L,logL
3.1129305371067246e-15,-33.40321181751105
1.2857780355983014e-15,-34.28741238461586
8.196867171378733e-15,-32.435024365911936
1.8656218663820585e-13,-29.31001177098638
8.791417760655292e-19,-41.575340775743754
1.0406463396096026e-14,-32.196349301408475
4.1371260153254394e-21,-46.934285605302314
2.708567157525641e-21,-47.35786718196754
3.0403302719067413e-15,-33.42681024331909
1.5942961826685881e-16,-36.37492911383846
6.043015198617324e-17,-37.345043488444354
1.092746767194374e-22,-50.568177549524925
5.0527766081006594e-20,-44.43176394430486
4.684762097230849e-17,-37.59963144617097
3.0250313310336035e-19,-42.642195318091225
1.2350351833031075e-19,-43.53801730870818
1.742786840981341e-12,-27.075535651200067
9.662123353099051e-12,-25.36280768304911
2.438184375503735e-14,-31.344937647997703
6.047764616320758e-16,-35.041672769044006
6.23951217200556e-16,-35.010459486142636
1.1452387703110937e-15,-34.40316324662168
1.0409184842034871e-14,-32.196087820629856
4.70126137714568e-21,-46.80645610204981
1.337573643286512e-12,-27.34016385725516
6.186593596928161e-16,-35.01897686012588
1.9428377751388206e-21,-47.690137277916506
3.623433421623258e-15,-33.251354359564104
3.361304502520071e-13,-28.721277065497354
5.576422678014112e-23,-51.24090966519055
1.1264508411302985e-15,-34.41970455356099
7.764973635404206e-17,-37.09432351961564
3.040421980959886e-18,-40.33453535858157
7.109352365698815e-22,-48.69546089400868
8.53783405864674e-17,-36.99943922837536
1.601612240808043e-14,-31.76518052950486
2.860165233468036e-17,-38.093067183795995
5.719323630614952e-19,-42.005266214882795
1.8785768617572004e-21,-47.72377245112053
1.3250035988658066e-13,-29.652191033362964
1.61358734426245e-15,-34.06031653045261
4.012066673279012e-18,-40.05722518546686
5.374680489913195e-16,-35.159662359394936
1.3623676359219263e-20,-45.74247776499203
7.329484879701178e-16,-34.849456250096196
3.8420108072270497e-16,-35.495365610645344
1.3013066613108103e-16,-36.57799260415098
6.907421339313862e-15,-32.60618000488157
1.845849864937515e-18,-40.833591871055965
2.644271414382814e-15,-33.56638082524613
3.191166492957272e-17,-37.983560059170216
1.0335724112170833e-15,-34.505755233154645
6.382458559828787e-17,-37.29039320356681
8.613710567824471e-13,-27.780251023061297
6.408230045522564e-17,-37.286363472038865
9.135568664471647e-18,-39.23435623482669
1.5940486359004866e-16,-36.37508439614491
5.0077119317905304e-26,-58.256233307309145
1.3762286122691221e-17,-38.824599712550345
4.927462120958159e-16,-35.24653741516338
1.1236987766425618e-19,-43.632491043642624
2.7919072128244873e-16,-35.81463653678589
2.251152153673656e-18,-40.63508952043932
3.0335568292441113e-13,-28.82387040681155
7.871161741293567e-13,-27.87040054095885
1.6390491725458082e-17,-38.64983028003386
2.1115085561293587e-14,-31.488788654376055
1.4355011128260855e-22,-50.29535805007187
1.1277861317308658e-17,-39.02369004532854
1.277007894115119e-17,-38.89942682210153
1.2140373369862556e-16,-36.64741004039748
3.7485825245198496e-16,-35.519983712841324
1.535435244508485e-13,-29.5047923211642
3.748014955681058e-13,-28.6123798542446
2.5265836696495133e-13,-29.006738146899618
9.008018057471659e-16,-34.64324641190554
2.692089506377034e-11,-24.33811836267912
6.573590305308593e-16,-34.958301335062785
1.483070481183326e-19,-43.355002178775884
2.644690851674854e-15,-33.56622221670561
2.1498097115460262e-16,-36.075982155939734
2.387959726181877e-16,-35.97092215759957
1.201106548793233e-17,-38.9607033250056
6.709339478544377e-13,-28.030105701153325
7.659930542764625e-16,-34.80535857171755
1.2512331384370633e-13,-29.709476633140678
9.993219535135527e-22,-48.35496522933888
1.671522796747498e-17,-38.630211515616914
2.4203951357319093e-20,-45.16777105381286
6.343122222549882e-15,-32.69140528355762
6.148281016429973e-22,-48.840699512644235
9.85097197268037e-21,-46.06671682512979
1.259015370510611e-13,-29.70327624542767
7.392952827707136e-19,-41.74858954100221
4.999268389810191e-19,-42.139825187196834
5.5020593741553965e-19,-42.043994313065866
1.3088775306248896e-20,-45.782531936822174
3.109696344473009e-16,-35.706836404913645
5.1542750706669536e-17,-37.504120099765444
1.6471733025204222e-16,-36.342300819099414
4.650229282051669e-15,-33.00185986855892
1.723633364672829e-16,-36.29692700378274
1.2599517201455403e-15,-34.30770299202623
1.5688115845678991e-25,-57.114308944628654
1.1567216063320598e-10,-22.880261127508014
3.335974900290607e-18,-40.241766713318334
1.5709195150177804e-13,-29.481945082649734
3.1363106762463795e-13,-28.790559043660714
2.0715481023793575e-11,-24.600139819631202
4.4314689152221806e-20,-44.56297074721395
5.766709884443695e-15,-32.78667468769094
1.5031069843808212e-17,-38.73641229210173
1.4604603484848805e-16,-36.46260979470192
6.605745894821557e-17,-37.2560067204857
2.572710847678204e-18,-40.50157152635707
2.678141535508194e-21,-47.369163855804565
5.525110680296181e-19,-42.03981348705091
3.1005044656960214e-20,-44.92013703075937
2.0298940750703072e-15,-33.83079278298673
7.257997352706734e-14,-30.254087357867256
2.8682611626322553e-14,-31.18248532243515
5.011184826836533e-16,-35.22968910838533
2.027679277954457e-18,-40.73963974763569
1.0073100230045079e-13,-29.926322774638766
4.552491959854784e-12,-26.115346349404984
1.525283351557588e-25,-57.14244712775118
1.785397305631326e-12,-27.05138014527862
6.751508699366602e-16,-34.931595496977884
5.912947415552698e-20,-44.27455743610515
3.257143508181296e-16,-35.66051090111945
1.080704234189119e-14,-32.158578404591296
7.349230195543753e-21,-46.3596913804355
9.792082290191748e-16,-34.55978735835147
5.613910406077688e-15,-32.81352887611549
3.652461631677674e-17,-37.84854522098538
2.811459800160839e-15,-33.50507254462279
2.961903672196023e-21,-47.2684547587614
